"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_SFM_ExoVest_Base0","Heavy Armor Bulletproof Vest","Heavy Armor Bulletproof Vest","Neprůstřelná vesta Heavy Armor","Heavy Armor Kugelsichere Weste","Бронежилет тяжелого бронекостюма","Kamizelka kuloodporna Heavy Armor","Heavy Armor golyóálló mellény","Gilet antiproiettile Heavy Armor","Chaleco antibalas Heavy Armor","Gilet pare-balles Heavy Armor","重装甲防弹背心","ヘビーアーマー防弾チョッキ","Colete à prova de bala Heavy Armor","重装甲防弹背心",
"STR_CfgVehicles_SFM_ExoVest_Base1","The heavy armor bulletproof vest provides reliable protection in the harsh conditions of the Zone. Made from durable and wear-resistant materials, this vest ensures solid protection against bullets, shrapnel, and anomalous phenomena. Its comfortable fit and multiple pockets make it an ideal choice for stalkers exploring the dangerous territories of the Zone.","The heavy armor bulletproof vest provides reliable protection in the harsh conditions of the Zone. Made from durable and wear-resistant materials, this vest ensures solid protection against bullets, shrapnel, and anomalous phenomena. Its comfortable fit and multiple pockets make it an ideal choice for stalkers exploring the dangerous territories of the Zone.","Těžká neprůstřelná vesta poskytuje spolehlivou ochranu v drsných podmínkách zóny. Tato vesta je vyrobena z odolných materiálů odolných proti opotřebení a zajišťuje spolehlivou ochranu proti střelám, střepinám a anomálním jevům. Díky pohodlnému střihu a mnoha kapsám je ideální volbou pro stalkery zkoumající nebezpečná území Zóny.","Die kugelsichere Weste Heavy Armor bietet zuverlässigen Schutz unter den harten Bedingungen der Zone. Die Weste ist aus strapazierfähigen und verschleißfesten Materialien gefertigt und bietet soliden Schutz vor Kugeln, Schrapnellen und anomalen Phänomenen. Ihre bequeme Passform und die vielen Taschen machen sie zur idealen Wahl für Stalker, die die gefährlichen Gebiete der Zone erkunden.","Бронежилет тяжелого бронекостюма - надежная защита в суровых условиях Зоны. Изготовленный из прочных и износостойких материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и аномальных явлений. Удобный крой и множество карманов делают его идеальным выбором для сталкеров, исследующих опасные территории Зоны.","Kamizelka kuloodporna Heavy Armor zapewnia niezawodną ochronę w trudnych warunkach Strefy. Wykonana z trwałych i odpornych na zużycie materiałów kamizelka zapewnia solidną ochronę przed pociskami, odłamkami i zjawiskami anomalnymi. Wygodne dopasowanie i liczne kieszenie sprawiają, że jest to idealny wybór dla stalkerów eksplorujących niebezpieczne terytoria Strefy.","A nehéz páncélzatú golyóálló mellény megbízható védelmet nyújt a zóna zord körülményei között. A tartós és kopásálló anyagokból készült mellény szilárd védelmet biztosít a golyókkal, repeszekkel és anomális jelenségekkel szemben. Kényelmes szabása és több zsebe ideális választássá teszi a Zóna veszélyes területeit felfedező leselkedők számára.","Il giubbotto antiproiettile heavy armor offre una protezione affidabile nelle condizioni difficili della Zona. Realizzato con materiali durevoli e resistenti all'usura, questo giubbotto assicura una solida protezione contro proiettili, schegge e fenomeni anomali. La sua vestibilità comoda e le tasche multiple lo rendono una scelta ideale per gli stalker che esplorano i pericolosi territori della Zona.","El chaleco antibalas de blindaje pesado proporciona una protección fiable en las duras condiciones de la Zona. Fabricado con materiales duraderos y resistentes al desgaste, este chaleco garantiza una sólida protección contra balas, metralla y fenómenos anómalos. Su cómodo ajuste y sus múltiples bolsillos lo convierten en una opción ideal para los acechadores que exploran los peligrosos territorios de la Zona.","Le gilet pare-balles à armure lourde offre une protection fiable dans les conditions difficiles de la zone. Fabriqué à partir de matériaux durables et résistants à l'usure, ce gilet assure une protection solide contre les balles, les éclats d'obus et les phénomènes anormaux. Sa coupe confortable et ses multiples poches en font un choix idéal pour les traqueurs qui explorent les territoires dangereux de la Zone.","重型装甲防弹背心可在 ""区 ""的恶劣条件下提供可靠的保护。该防弹背心采用耐用、耐磨的材料制成，可确保对子弹、弹片和异常现象提供坚实的保护。它舒适合身，有多个口袋，是探索 ""区 ""内危险区域的跟踪者的理想选择。","ヘビーアーマー防弾チョッキは、ゾーンの過酷な状況下で信頼性の高いプロテクションを提供します。耐久性と耐摩耗性に優れた素材で作られたこのベストは、銃弾、榴散弾、異常現象から確実に身を守ります。快適なフィット感と複数のポケットは、ゾーンの危険な領域を探索するストーカーにとって理想的な選択です。","O colete à prova de balas de armadura pesada oferece uma proteção fiável nas condições adversas da Zona. Feito de materiais duráveis e resistentes ao desgaste, este colete garante uma proteção sólida contra balas, estilhaços e fenómenos anómalos. O seu ajuste confortável e os vários bolsos fazem dele a escolha ideal para os perseguidores que exploram os perigosos territórios da Zona.","重型装甲防弹背心可在 ""区 ""的恶劣条件下提供可靠的保护。该防弹背心采用耐用、耐磨的材料制成，可确保对子弹、弹片和异常现象提供坚实的保护。它舒适合身，有多个口袋，是探索 ""区 ""内危险区域的跟踪者的理想选择。",
"STR_CfgVehicles_SFM_ExoVestArm_Base0","Heavy Bulletproof Vest","Heavy Bulletproof Vest","Těžká neprůstřelná vesta","Schwere kugelsichere Weste","Тяжелый бронежилет","Ciężka kamizelka kuloodporna","Nehéz golyóálló mellény","Gilet antiproiettile pesante","Chaleco antibalas pesado","Gilet pare-balles lourd","重型防弹背心","重い防弾チョッキ","Colete à prova de bala pesado","重型防弹背心",
"STR_CfgVehicles_SFM_ExoVestArm_Base1","The heavy bulletproof vest for the heavy armor suit is the embodiment of insurmountable protection. Made from innovative materials, this vest provides reliable protection against bullets, shrapnel, and anomalous phenomena, while ensuring comfort and freedom of movement in conditions of constant danger. Its special design and multiple pockets make it an ideal choice for stalkers exploring the dangerous territories of the Zone.","The heavy bulletproof vest for the heavy armor suit is the embodiment of insurmountable protection. Made from innovative materials, this vest provides reliable protection against bullets, shrapnel, and anomalous phenomena, while ensuring comfort and freedom of movement in conditions of constant danger. Its special design and multiple pockets make it an ideal choice for stalkers exploring the dangerous territories of the Zone.","Těžká neprůstřelná vesta pro těžký pancéřový oblek je ztělesněním nepřekonatelné ochrany. Tato vesta je vyrobena z inovativních materiálů a poskytuje spolehlivou ochranu proti střelám, střepinám a anomálním jevům a zároveň zajišťuje pohodlí a volnost pohybu v podmínkách neustálého nebezpečí. Její speciální konstrukce a množství kapes z ní činí ideální volbu pro stalkery zkoumající nebezpečná území Zóny.","Die schwere kugelsichere Weste für den schweren Panzeranzug ist die Verkörperung eines unüberwindbaren Schutzes. Die aus innovativen Materialien gefertigte Weste bietet zuverlässigen Schutz vor Kugeln, Schrapnellen und anomalen Phänomenen und gewährleistet gleichzeitig Komfort und Bewegungsfreiheit unter den Bedingungen ständiger Gefahr. Ihr spezielles Design und die zahlreichen Taschen machen sie zur idealen Wahl für Stalker, die die gefährlichen Gebiete der Zone erkunden.","Тяжелый бронежилет для тяжелого бронекостюма - воплощение непреодолимой защиты. Изготовленный из инновационных материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и аномальных явлений, а также обеспечивает комфорт и свободу движения в условиях постоянной опасности. Специальный дизайн и множество карманов делают его идеальным выбором для сталкеров, исследующих опасные территории Зоны.","Ciężka kamizelka kuloodporna do ciężkiego kombinezonu pancernego jest ucieleśnieniem ochrony nie do pokonania. Wykonana z innowacyjnych materiałów kamizelka zapewnia niezawodną ochronę przed pociskami, odłamkami i zjawiskami anomalnymi, zapewniając jednocześnie komfort i swobodę ruchów w warunkach ciągłego zagrożenia. Specjalna konstrukcja i liczne kieszenie sprawiają, że jest to idealny wybór dla stalkerów eksplorujących niebezpieczne terytoria Strefy.","A nehéz páncélruha nehéz golyóálló mellénye a leküzdhetetlen védelem megtestesítője. Az innovatív anyagokból készült mellény megbízható védelmet nyújt a golyók, repeszek és rendellenes jelenségek ellen, miközben kényelmet és mozgásszabadságot biztosít az állandó veszélyhelyzetben. Különleges kialakítása és több zsebe ideális választássá teszi a Zóna veszélyes területeit felfedező leselkedők számára.","Il giubbotto antiproiettile pesante per l'armatura pesante è l'incarnazione di una protezione insormontabile. Realizzato con materiali innovativi, questo giubbotto offre una protezione affidabile contro proiettili, schegge e fenomeni anomali, garantendo al contempo comfort e libertà di movimento in condizioni di pericolo costante. Il suo design speciale e le tasche multiple lo rendono una scelta ideale per gli stalker che esplorano i pericolosi territori della Zona.","El chaleco antibalas pesado para el traje blindado pesado es la encarnación de la protección infranqueable. Fabricado con materiales innovadores, este chaleco proporciona una protección fiable contra balas, metralla y fenómenos anómalos, al tiempo que garantiza la comodidad y la libertad de movimientos en condiciones de peligro constante. Su diseño especial y sus múltiples bolsillos lo convierten en la elección ideal para los acechadores que exploran los peligrosos territorios de la Zona.","Le gilet pare-balles lourd pour armure lourde est l'incarnation d'une protection insurmontable. Fabriqué à partir de matériaux innovants, ce gilet offre une protection fiable contre les balles, les éclats d'obus et les phénomènes anormaux, tout en assurant confort et liberté de mouvement dans des conditions de danger permanent. Son design particulier et ses multiples poches en font un choix idéal pour les traqueurs qui explorent les territoires dangereux de la Zone.","重型装甲服的重型防弹背心体现了难以逾越的保护。该防弹背心由创新材料制成，可为子弹、弹片和异常现象提供可靠的防护，同时确保在持续危险的条件下行动舒适自如。它的特殊设计和多个口袋使其成为探索 ""区 ""内危险区域的潜行者的理想选择。","ヘビーアーマースーツ用防弾チョッキは、克服不可能なプロテクションを具現化したものです。革新的な素材から作られたこのベストは、弾丸、榴散弾、異常現象から確実に身を守り、常に危険な状況下での快適さと自由な動きを保証します。その特別なデザインと複数のポケットは、ゾーンの危険な領域を探索するストーカーにとって理想的な選択です。","O colete à prova de bala pesado para o fato blindado pesado é a personificação de uma proteção insuperável. Fabricado com materiais inovadores, este colete oferece uma proteção fiável contra balas, estilhaços e fenómenos anómalos, garantindo ao mesmo tempo conforto e liberdade de movimentos em condições de perigo constante. O seu design especial e os seus múltiplos bolsos fazem dele a escolha ideal para os perseguidores que exploram os perigosos territórios da Zona.","重型装甲服的重型防弹背心体现了难以逾越的保护。该防弹背心采用创新材料制成，可为子弹、弹片和异常现象提供可靠的防护，同时确保在持续危险的条件下行动舒适自如。它的特殊设计和多个口袋使其成为探索 ""区 ""内危险区域的潜行者的理想选择。",
"STR_CfgVehicles_SFM_ExoHelmet_Base0","Heavy Armor Suit Helmet","Heavy Armor Suit Helmet","Těžká pancéřová přilba","Schwerer Panzeranzug Helm","Шлем тяжелого бронекостюма","Ciężki hełm pancerny","Nehéz páncélruha sisak","Casco per armatura pesante","Casco de armadura pesada","Casque de la combinaison d'armure lourde","重型装甲头盔","ヘビーアーマースーツ・ヘルメット","Capacete de armadura pesada","重型装甲头盔",
"STR_CfgVehicles_SFM_ExoHelmet_Base1","The heavy armor suit helmet for stalkers is a crucial component of protection in the world of the Zone. Made from special composite materials, this helmet provides reliable head protection against bullets, shrapnel, and anomalous phenomena. The integrated complex system provides radiation protection and anomaly detection, as well as ensures communication with stalker groups. Ergonomic design and comfortable fit make this helmet indispensable equipment for stalkers exploring the Zone.","The heavy armor suit helmet for stalkers is a crucial component of protection in the world of the Zone. Made from special composite materials, this helmet provides reliable head protection against bullets, shrapnel, and anomalous phenomena. The integrated complex system provides radiation protection and anomaly detection, as well as ensures communication with stalker groups. Ergonomic design and comfortable fit make this helmet indispensable equipment for stalkers exploring the Zone.","Těžká pancéřová přilba pro stalkery je ve světě Zóny klíčovou součástí ochrany. Tato přilba je vyrobena ze speciálních kompozitních materiálů a poskytuje spolehlivou ochranu hlavy před kulkami, střepinami a anomálními jevy. Integrovaný komplexní systém poskytuje ochranu před radiací a detekcí anomálií a zajišťuje komunikaci se skupinami stalkerů. Ergonomický design a pohodlné nošení činí z této přilby nepostradatelnou výbavu stalkerů zkoumajících Zónu.","Der schwere Panzeranzughelm für Stalker ist ein wichtiger Bestandteil des Schutzes in der Welt der Zone. Der aus speziellen Verbundwerkstoffen gefertigte Helm bietet zuverlässigen Kopfschutz gegen Kugeln, Schrapnelle und anomale Phänomene. Das integrierte komplexe System bietet Strahlenschutz und Anomalieerkennung und gewährleistet die Kommunikation mit Stalker-Gruppen. Das ergonomische Design und die bequeme Passform machen diesen Helm zu einer unverzichtbaren Ausrüstung für Stalker, die die Zone erkunden.","Шлем тяжелого бронекостюма для сталкеров - важнейшая составляющая защиты в мире Зоны. Изготовленный из специальных композитных материалов, этот шлем обеспечивает надежную защиту головы от пуль, осколков и аномальных явлений. Встроенный комплексный системы обеспечивает защиту от радиации и обнаружение аномальных явлений, а также обеспечивает коммуникацию со сталкерскими группировками. Эргономичный дизайн и удобная посадка делают этот шлем незаменимым снаряжением для сталкеров, исследующих Зону.","Ciężki hełm pancerny dla stalkerów jest kluczowym elementem ochrony w świecie Strefy. Wykonany ze specjalnych materiałów kompozytowych, hełm ten zapewnia niezawodną ochronę głowy przed pociskami, odłamkami i zjawiskami anomalnymi. Zintegrowany kompleksowy system zapewnia ochronę przed promieniowaniem i wykrywanie anomalii, a także zapewnia komunikację z grupami stalkerów. Ergonomiczna konstrukcja i wygodne dopasowanie czynią ten hełm niezbędnym wyposażeniem dla stalkerów eksplorujących Strefę.","A nehéz páncélruha sisak a leselkedők számára a Zóna világában a védelem kulcsfontosságú eleme. A speciális kompozit anyagokból készült sisak megbízható fejvédelmet nyújt a golyók, repeszek és anomális jelenségek ellen. Az integrált komplex rendszer sugárzásvédelmet és anomáliák észlelését biztosítja, valamint a leselkedő csoportokkal való kommunikációt. Ergonomikus kialakítása és kényelmes illeszkedése teszi ezt a sisakot a Zónát felfedező leselkedők nélkülözhetetlen felszerelésévé.","L'elmetto con armatura pesante per stalker è un componente fondamentale della protezione nel mondo della Zona. Realizzato con speciali materiali compositi, questo elmetto offre una protezione affidabile della testa contro proiettili, schegge e fenomeni anomali. Il complesso sistema integrato fornisce protezione dalle radiazioni e rilevamento delle anomalie, oltre a garantire la comunicazione con i gruppi di stalker. Il design ergonomico e la vestibilità comoda rendono questo casco un equipaggiamento indispensabile per gli stalker che esplorano la Zona.","El casco de blindaje pesado para acechadores es un componente crucial de protección en el mundo de la Zona. Fabricado con materiales compuestos especiales, este casco proporciona una protección fiable de la cabeza contra balas, metralla y fenómenos anómalos. El complejo sistema integrado proporciona protección contra la radiación y detección de anomalías, además de garantizar la comunicación con los grupos de stalkers. Su diseño ergonómico y su cómodo ajuste hacen de este casco un equipo indispensable para los stalkers que exploran la Zona.","Le casque à armure lourde pour traqueurs est un élément crucial de la protection dans le monde de la Zone. Fabriqué à partir de matériaux composites spéciaux, ce casque offre une protection fiable de la tête contre les balles, les éclats d'obus et les phénomènes anormaux. Le système complexe intégré assure la protection contre les radiations et la détection des anomalies, ainsi que la communication avec les groupes de traqueurs. Sa conception ergonomique et son port confortable font de ce casque un équipement indispensable pour les traqueurs qui explorent la Zone.","潜行者重型装甲服头盔是 ""区 ""世界保护的重要组成部分。该头盔由特殊的复合材料制成，可提供可靠的头部保护，抵御子弹、弹片和异常现象。集成的复合系统可提供辐射防护和异常检测，并确保与跟踪者群体的通信。符合人体工程学的设计和舒适的佩戴使这款头盔成为探索 ""区 ""的潜行者不可或缺的装备。","ストーカー用ヘビーアーマースーツ・ヘルメットは、ゾーンの世界で身を守る重要な要素です。特殊な複合素材で作られたこのヘルメットは、銃弾、破片、異常現象から頭部を確実に保護します。統合された複合システムは、放射線防護と異常検知を提供し、ストーカー・グループとの通信を確実にします。人間工学に基づいたデザインと快適なフィット感により、ゾーンを探索するストーカーにとって欠かせない装備となっています。","O capacete de armadura pesada para perseguidores é um componente crucial de proteção no mundo da Zona. Feito de materiais compostos especiais, este capacete oferece uma proteção fiável da cabeça contra balas, estilhaços e fenómenos anómalos. O sistema complexo integrado fornece proteção contra radiação e deteção de anomalias, bem como assegura a comunicação com grupos de perseguidores. O design ergonómico e o ajuste confortável fazem deste capacete um equipamento indispensável para os perseguidores que exploram a Zona.","潜行者重型装甲服头盔是 ""区 ""世界保护的重要组成部分。该头盔由特殊的复合材料制成，可提供可靠的头部保护，抵御子弹、弹片和异常现象。集成的复合系统可提供辐射防护和异常检测，并确保与跟踪者群体的通信。符合人体工程学的设计和舒适的佩戴使这款头盔成为探索 ""区 ""的潜行者不可或缺的装备。",
"STR_CfgVehicles_SFM_ExoGasMask0","Exoskeleton Gas Mask","Exoskeleton Gas Mask","Exoskeletová plynová maska","Exoskeleton Gas Mask","Противогаз Экзоскелета","Maska przeciwgazowa z egzoszkieletem","Exoskeleton gázmaszk","Maschera antigas esoscheletro","Máscara antigás exoesqueleto","Masque à gaz exosquelette","外骨骼防毒面具","外骨格ガスマスク","Máscara de gás para exoesqueleto","外骨骼防毒面具",
"STR_CfgVehicles_SFM_ExoGasMask1","The exoskeleton gas mask is a vital protection against radiation and anomalous phenomena in Zone conditions. This gas mask, integrated into the exoskeleton, provides reliable protection for the stalker's respiratory system, allowing free movement in environments contaminated with harmful substances. Impact-resistant panels and filters ensure clear vision and clean air in the most dangerous conditions, making the gas mask an essential part of survival equipment in the Zone.","The exoskeleton gas mask is a vital protection against radiation and anomalous phenomena in Zone conditions. This gas mask, integrated into the exoskeleton, provides reliable protection for the stalker's respiratory system, allowing free movement in environments contaminated with harmful substances. Impact-resistant panels and filters ensure clear vision and clean air in the most dangerous conditions, making the gas mask an essential part of survival equipment in the Zone.","Exoskeletová plynová maska je důležitou ochranou proti radiaci a anomálním jevům v zónových podmínkách. Tato plynová maska integrovaná do exoskeletu poskytuje spolehlivou ochranu dýchacího systému stalkera a umožňuje volný pohyb v prostředí zamořeném škodlivými látkami. Nárazuvzdorné panely a filtry zajišťují jasný výhled a čistý vzduch v těch nejnebezpečnějších podmínkách, díky čemuž je plynová maska nezbytnou součástí vybavení pro přežití v Zóně.","Die Exoskelett-Gasmaske ist ein wichtiger Schutz gegen Strahlung und anomale Phänomene in der Zone. Diese in das Exoskelett integrierte Gasmaske bietet einen zuverlässigen Schutz für das Atmungssystem des Stalkers und ermöglicht die freie Bewegung in schadstoffbelasteten Umgebungen. Stoßfeste Platten und Filter sorgen für klare Sicht und saubere Luft unter den gefährlichsten Bedingungen und machen die Gasmaske zu einem unverzichtbaren Teil der Überlebensausrüstung in der Zone.","Противогаз экзоскелета - важное средство защиты от радиации и аномальных явлений в условиях Зоны. Этот интегрированный в экзоскелет противогаз обеспечивает надежную защиту органов дыхания сталкера, позволяя ему свободно передвигаться в окружающей среде, загрязненной вредными веществами. Стеклоустойчивые панели и фильтры обеспечивают четкое зрение и чистый воздух в самых опасных условиях, делая противогаз неотъемлемой частью снаряжения для выживания в Зоне.","Egzoszkieletowa maska przeciwgazowa to niezbędna ochrona przed promieniowaniem i zjawiskami anomalnymi w warunkach strefowych. Ta zintegrowana z egzoszkieletem maska przeciwgazowa zapewnia niezawodną ochronę układu oddechowego stalkera, umożliwiając swobodne poruszanie się w środowiskach skażonych szkodliwymi substancjami. Odporne na uderzenia panele i filtry zapewniają wyraźne widzenie i czyste powietrze w najbardziej niebezpiecznych warunkach, dzięki czemu maska przeciwgazowa jest niezbędnym elementem wyposażenia przetrwania w Strefie.","Az exoskeleton gázálarc létfontosságú védelmet nyújt a sugárzás és a zóna körülményei között fellépő anomális jelenségek ellen. Ez az exoskeletonba integrált gázálarc megbízható védelmet nyújt a leselkedő légzőszerveinek, lehetővé téve a szabad mozgást a káros anyagokkal szennyezett környezetben. Az ütésálló panelek és szűrők biztosítják a tiszta látást és a tiszta levegőt a legveszélyesebb körülmények között is, így a gázálarc a Zónában a túlélőfelszerelés elengedhetetlen része.","La maschera antigas dell'esoscheletro è una protezione essenziale contro le radiazioni e i fenomeni anomali in condizioni di Zona. Questa maschera antigas, integrata nell'esoscheletro, fornisce una protezione affidabile per il sistema respiratorio dello stalker, permettendo di muoversi liberamente in ambienti contaminati da sostanze nocive. I pannelli e i filtri resistenti agli urti garantiscono una visione chiara e aria pulita nelle condizioni più pericolose, rendendo la maschera antigas una parte essenziale dell'equipaggiamento di sopravvivenza nella Zona.","La máscara antigás del exoesqueleto es una protección vital contra la radiación y los fenómenos anómalos en condiciones de Zona. Esta máscara antigás, integrada en el exoesqueleto, proporciona una protección fiable para el sistema respiratorio del acechador, permitiendo la libre circulación en entornos contaminados con sustancias nocivas. Los paneles y filtros resistentes a los impactos garantizan una visión clara y aire limpio en las condiciones más peligrosas, lo que convierte a la máscara antigás en una parte esencial del equipo de supervivencia en la Zona.","Le masque à gaz de l'exosquelette est une protection vitale contre les radiations et les phénomènes anormaux dans les conditions de la zone. Ce masque à gaz, intégré à l'exosquelette, assure une protection fiable du système respiratoire du traqueur et lui permet de se déplacer librement dans des environnements contaminés par des substances nocives. Des panneaux et des filtres résistants aux chocs garantissent une vision claire et un air pur dans les conditions les plus dangereuses, ce qui fait du masque à gaz un élément essentiel de l'équipement de survie dans la zone.","外骨骼防毒面具是 ""区域 ""条件下防止辐射和异常现象的重要保护装置。这种防毒面具与外骨骼融为一体，为潜行者的呼吸系统提供可靠的保护，允许潜行者在受有害物质污染的环境中自由行动。抗冲击面板和过滤器可确保在最危险的条件下保持视野清晰和空气清洁，使防毒面具成为 ""区 ""内生存装备的重要组成部分。","外骨格型ガスマスクは、放射線や異常現象からゾーンを守る重要な防護具です。外骨格に一体化されたこのガスマスクは、ストーカーの呼吸器系を確実に保護し、有害物質で汚染された環境での自由な移動を可能にします。耐衝撃性のパネルとフィルターにより、最も危険な状況下でもクリアな視界と清浄な空気を確保し、ガスマスクはゾーンでのサバイバル装備の不可欠な一部となっています。","A máscara de gás do exoesqueleto é uma proteção vital contra a radiação e os fenómenos anómalos nas condições da Zona. Esta máscara de gás, integrada no exoesqueleto, fornece uma proteção fiável para o sistema respiratório do perseguidor, permitindo a livre circulação em ambientes contaminados com substâncias nocivas. Painéis e filtros resistentes a impactos garantem uma visão clara e ar limpo nas condições mais perigosas, tornando a máscara de gás uma parte essencial do equipamento de sobrevivência na Zona.","外骨骼防毒面具是 ""区域 ""条件下防止辐射和异常现象的重要保护装置。这种防毒面具与外骨骼融为一体，为潜行者的呼吸系统提供可靠的保护，允许潜行者在受有害物质污染的环境中自由行动。抗冲击面板和过滤器可确保在最危险的条件下保持视野清晰和空气清洁，使防毒面具成为 ""区 ""内生存装备的重要组成部分。",
"STR_CfgVehicles_SFM_ExoJacket_Base0","Heavy Armor Suit Jacket","Heavy Armor Suit Jacket","Oblek v těžkém brnění","Schwerer Panzeranzug Jacke","Куртка тяжелого бронекостюма","Kurtka Heavy Armor Suit","Nehéz páncélruha kabát","Giacca dell'armatura pesante","Chaqueta de armadura pesada","Veste de combinaison d'armure lourde","重型装甲服夹克","ヘビーアーマースーツ・ジャケット","Casaco de armadura pesada","重型装甲服夹克",
"STR_CfgVehicles_SFM_ExoJacket_Base1","The heavy armor suit jacket provides insurmountable protection in the harsh world of the Zone. Made from durable materials, this jacket ensures reliable protection against bullets, shrapnel, and anomalous phenomena. Thanks to its durability and functionality, it will become indispensable equipment for stalkers exploring dangerous territories and engaging in encounters with mutants and other threats.","The heavy armor suit jacket provides insurmountable protection in the harsh world of the Zone. Made from durable materials, this jacket ensures reliable protection against bullets, shrapnel, and anomalous phenomena. Thanks to its durability and functionality, it will become indispensable equipment for stalkers exploring dangerous territories and engaging in encounters with mutants and other threats.","Těžká pancéřová bunda poskytuje nepřekonatelnou ochranu v drsném světě Zóny. Tato bunda je vyrobena z odolných materiálů a zajišťuje spolehlivou ochranu před kulkami, střepinami a anomálními jevy. Díky své odolnosti a funkčnosti se stane nepostradatelnou výbavou stalkerů, kteří zkoumají nebezpečná území a zapojují se do střetů s mutanty a dalšími hrozbami.","Die Jacke des schweren Panzeranzugs bietet unüberwindbaren Schutz in der rauen Welt der Zone. Die Jacke ist aus strapazierfähigen Materialien gefertigt und bietet zuverlässigen Schutz vor Kugeln, Schrapnellen und anomalen Phänomenen. Dank ihrer Strapazierfähigkeit und Funktionalität wird sie zur unverzichtbaren Ausrüstung für Stalker, die gefährliche Gebiete erkunden und auf Mutanten und andere Bedrohungen stoßen.","Куртка тяжелого бронекостюма - непреодолимая защита в суровом мире Зоны. Изготовленная из устойчивых материалов, эта куртка обеспечивает надежную защиту от пуль, осколков и аномальных явлений. Благодаря своей прочности и функциональности, она станет незаменимым снаряжением для сталкеров, исследующих опасные территории и вступающих в схватки с мутантами и другими угрозами.","Ciężka kurtka pancerna zapewnia ochronę nie do pokonania w trudnym świecie Strefy. Wykonana z wytrzymałych materiałów kurtka zapewnia niezawodną ochronę przed pociskami, odłamkami i zjawiskami anomalnymi. Dzięki swojej trwałości i funkcjonalności stanie się niezbędnym wyposażeniem dla stalkerów eksplorujących niebezpieczne terytoria i angażujących się w spotkania z mutantami i innymi zagrożeniami.","A nehéz páncélruha kabátja leküzdhetetlen védelmet nyújt a Zóna zord világában. A tartós anyagokból készült kabát megbízható védelmet biztosít a golyók, repeszek és anomális jelenségek ellen. Tartósságának és funkcionalitásának köszönhetően nélkülözhetetlen felszereléssé válik a veszélyes területeket felfedező, mutánsokkal és más fenyegetésekkel való találkozásokban részt vevő leselkedők számára.","La giacca dell'armatura pesante fornisce una protezione insormontabile nel duro mondo della Zona. Realizzata con materiali resistenti, questa giacca garantisce una protezione affidabile contro proiettili, schegge e fenomeni anomali. Grazie alla sua durata e funzionalità, diventerà un equipaggiamento indispensabile per gli stalker che esplorano territori pericolosi e si scontrano con mutanti e altre minacce.","La chaqueta del traje de blindaje pesado proporciona una protección insuperable en el duro mundo de la Zona. Fabricada con materiales duraderos, esta chaqueta garantiza una protección fiable contra balas, metralla y fenómenos anómalos. Gracias a su durabilidad y funcionalidad, se convertirá en un equipo indispensable para los acechadores que exploren territorios peligrosos y participen en encuentros con mutantes y otras amenazas.","La veste de la combinaison d'armure lourde offre une protection insurmontable dans le monde hostile de la Zone. Fabriquée à partir de matériaux durables, cette veste assure une protection fiable contre les balles, les éclats d'obus et les phénomènes anormaux. Grâce à sa durabilité et à sa fonctionnalité, elle deviendra un équipement indispensable pour les traqueurs qui explorent des territoires dangereux et rencontrent des mutants et d'autres menaces.","在 ""区 ""的严酷世界里，重型装甲服夹克可提供难以逾越的保护。这件夹克由耐用材料制成，可确保对子弹、弹片和异常现象提供可靠的保护。由于其耐用性和功能性，它将成为潜行者探索危险区域、遭遇变种人和其他威胁时不可或缺的装备。","ヘビーアーマースーツジャケットは、ゾーンの過酷な世界において乗り越えられないプロテクションを提供します。耐久性のある素材で作られたこのジャケットは、銃弾、榴散弾、異常現象から確実に身を守ります。その耐久性と機能性のおかげで、危険な領域を探索し、ミュータントやその他の脅威と遭遇するストーカーにとって不可欠な装備となるでしょう。","O casaco do fato de armadura pesada proporciona uma proteção insuperável no mundo duro da Zona. Feito de materiais duráveis, este casaco garante uma proteção fiável contra balas, estilhaços e fenómenos anómalos. Graças à sua durabilidade e funcionalidade, tornar-se-á um equipamento indispensável para os perseguidores que exploram territórios perigosos e se envolvem em encontros com mutantes e outras ameaças.","在 ""区 ""的严酷世界里，重型装甲服夹克可提供难以逾越的保护。这件夹克由耐用材料制成，可确保对子弹、弹片和异常现象提供可靠的保护。由于其耐用性和功能性，它将成为潜行者探索危险区域、遭遇变种人和其他威胁时不可或缺的装备。",
"STR_CfgVehicles_SFM_ExoPants_Base0","Heavy Armor Suit Pants","Heavy Armor Suit Pants","Kalhoty pro těžký obrněný oblek","Schwere Panzeranzug-Hose","Штаны тяжелого бронекостюма","Spodnie Heavy Armor Suit","Nehéz páncélruha nadrág","Pantaloni dell'armatura pesante","Pantalones de traje de armadura pesada","Pantalon de combinaison d'armure lourde","重型装甲服裤子","ヘビー・アーマー・スーツ・パンツ","Calças de fato de armadura pesada","重型装甲服裤子",
